rank,country,category,product_idea,target_segment,channel_strategy,priority_level,recommended_action,scenario,product_opportunity_score,estimated_units,estimated_price_usd,gross_revenue_usd,net_revenue_usd,cogs_pct,logistics_pct,marketing_pct,trade_promo_pct,distributor_margin_pct,contribution_profit_usd,contribution_margin_pct,contribution_per_unit_usd,break_even_units,scenario_profitability_score,scenario_revenue_score,scenario_business_score,profitability_label,scenario_recommendation,idea_rationale,business_rationale
4,United States,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium-High,Pilot / Test,Base,67.35,74232,7.1,527047.2,484356.38,0.515,0.09,0.089,0.081,0.118,91059.0,0.188,1.23,31589.0,0.4581939799331104,0.5212620558953314,48.34,Moderate profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
4,United States,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium-High,Pilot / Test,Conservative,67.35,53479,6.75,360983.25,328133.77,0.449,0.078,0.131,0.091,0.113,75142.63,0.229,1.41,18683.0,0.5953177257525084,0.2662803246018919,46.37,Moderate profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
5,Australia,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Aggressive,64.98,69994,5.34,373767.96,339007.54,0.413,0.104,0.099,0.093,0.141,82378.83,0.243,1.18,23044.0,0.6421404682274248,0.28402815700775585,49.89,Moderate profitability,Pilot launch,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
5,Australia,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Base,64.98,71458,5.34,381585.72,351058.86,0.447,0.087,0.09,0.08,0.103,95839.07,0.273,1.34,20941.0,0.7424749163879599,0.30369795024684754,56.7,High profitability,Pilot launch,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
5,Australia,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Conservative,64.98,47982,5.24,251425.68,224774.56,0.472,0.085,0.078,0.106,0.121,54844.99,0.244,1.14,15732.0,0.6454849498327759,0.09758060622615744,42.63,Moderate profitability,Pilot launch,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
6,Australia,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Aggressive,64.48,156536,2.54,397601.44,359829.3,0.429,0.098,0.171,0.095,0.14,58292.35,0.162,0.37,77302.0,0.3712374581939799,0.31801279222398027,34.99,Moderate profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
6,Australia,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Base,64.48,133953,2.26,302733.78,286386.16,0.421,0.06,0.11,0.054,0.153,73314.86,0.256,0.55,41861.0,0.68561872909699,0.19814116167814277,49.06,High profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
6,Australia,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Conservative,64.48,96716,2.51,242757.16,221637.29,0.471,0.079,0.109,0.087,0.082,57404.06,0.259,0.59,29874.0,0.6956521739130435,0.09246005078200653,45.44,High profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
7,Malaysia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Aggressive,62.4,80443,5.39,433587.77,407572.5,0.497,0.078,0.159,0.06,0.135,53392.0,0.131,0.66,49126.0,0.2675585284280937,0.39593777243964146,31.89,Low profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
7,Malaysia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Base,62.4,48440,5.32,257700.8,236827.04,0.493,0.097,0.14,0.081,0.105,39076.46,0.165,0.81,23487.0,0.3812709030100335,0.11725229278151306,27.57,Moderate profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
7,Malaysia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Conservative,62.4,37518,5.31,199220.58,184279.04,0.383,0.062,0.13,0.075,0.113,57495.06,0.312,1.53,9621.0,0.8729096989966555,0.031485066027282904,53.63,High profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
8,Indonesia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Aggressive,60.96,68976,7.12,491109.12,462133.68,0.438,0.074,0.166,0.059,0.134,86881.13,0.188,1.26,29352.0,0.4581939799331104,0.48499084956985317,46.89,Moderate profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
8,Indonesia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Base,60.96,38259,7.72,295359.48,276161.11,0.385,0.092,0.133,0.065,0.152,65726.35,0.238,1.72,12861.0,0.6254180602006688,0.18145215007116744,44.78,Moderate profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
8,Indonesia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Conservative,60.96,34515,7.8,269217.0,248487.29,0.51,0.071,0.098,0.077,0.112,51933.84,0.209,1.5,13212.0,0.5284280936454849,0.1362837936142947,37.16,Moderate profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
9,Singapore,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,59.97,63261,8.35,528229.35,468539.43,0.409,0.09,0.142,0.113,0.083,129316.88,0.276,2.04,18337.0,0.7525083612040134,0.49544611737796973,64.97,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.
9,Singapore,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,59.97,61666,9.17,565477.22,533245.02,0.409,0.075,0.16,0.057,0.094,139710.19,0.262,2.27,18830.0,0.7056856187290971,0.6010565879914327,66.38,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.
9,Singapore,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,59.97,40478,9.1,368349.8,339986.87,0.43,0.1,0.071,0.077,0.143,87036.64,0.256,2.15,12650.0,0.68561872909699,0.28562658926354534,52.56,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.
10,United States,Gochujang sauce,Korean sauce starter kit,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,59.64,77581,6.3,488760.3,460900.96,0.486,0.091,0.158,0.057,0.148,53925.41,0.117,0.7,53047.0,0.22073578595317728,0.4829788419622473,32.56,Low profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
10,United States,Gochujang sauce,Korean sauce starter kit,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,59.64,59712,5.16,308113.92,280383.67,0.432,0.08,0.114,0.09,0.152,62245.17,0.222,1.04,21518.0,0.5719063545150502,0.18834408241879896,41.85,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
10,United States,Gochujang sauce,Korean sauce starter kit,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,59.64,44947,5.99,269232.53,243924.67,0.495,0.113,0.101,0.094,0.086,50004.56,0.205,1.11,17541.0,0.5150501672240803,0.12883682581088862,36.06,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
11,Thailand,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,59.37,107068,7.23,774101.64,706754.8,0.439,0.064,0.096,0.087,0.108,207079.16,0.293,1.93,29234.0,0.8093645484949832,0.8842539055931793,83.93,High profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
11,Thailand,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,59.37,63712,7.16,456177.92,406454.53,0.431,0.079,0.148,0.109,0.109,94703.9,0.233,1.49,21876.0,0.6086956521739131,0.3941130562469334,52.29,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
11,Thailand,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,59.37,58100,7.43,431683.0,392831.53,0.484,0.071,0.072,0.09,0.109,103707.52,0.264,1.78,17607.0,0.7123745819397994,0.3718780153305735,57.62,High profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
12,Singapore,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Aggressive,59.31,152327,2.72,414329.44,373725.15,0.462,0.101,0.15,0.098,0.08,77361.11,0.207,0.51,58871.0,0.5217391304347826,0.34069317050465264,44.93,Moderate profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
12,Singapore,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Base,59.31,112071,2.46,275694.66,259704.37,0.383,0.068,0.136,0.058,0.098,81806.88,0.315,0.73,28463.0,0.882943143812709,0.15459196602581066,59.16,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
12,Singapore,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Conservative,59.31,82609,2.25,185870.25,169699.54,0.411,0.08,0.135,0.087,0.096,47176.47,0.278,0.57,23773.0,0.7591973244147158,0.007688855277810047,45.86,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
13,Thailand,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,58.45,65135,5.81,378434.35,336806.57,0.479,0.099,0.189,0.11,0.116,39406.37,0.117,0.6,44537.0,0.22073578595317728,0.28043580157901926,24.46,Low profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
13,Thailand,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,58.45,56352,6.18,348255.36,310295.53,0.446,0.092,0.16,0.109,0.109,59887.04,0.193,1.06,23359.0,0.47491638795986624,0.23716529881639337,37.98,Moderate profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
13,Thailand,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,58.45,37765,5.55,209595.75,188007.39,0.515,0.11,0.101,0.103,0.147,23876.94,0.127,0.63,23789.0,0.25418060200668896,0.03757036403803754,16.75,Low profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
14,Malaysia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,58.06,76003,7.11,540381.33,499312.35,0.495,0.064,0.155,0.076,0.144,70902.35,0.142,0.93,42819.0,0.3043478260869565,0.5456727293808963,40.09,Low profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
14,Malaysia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,58.06,61773,6.26,386698.98,347255.68,0.427,0.095,0.116,0.102,0.097,92022.76,0.265,1.49,18649.0,0.7157190635451506,0.2974905170153801,54.84,High profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
14,Malaysia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,58.06,50375,6.7,337512.5,314224.14,0.436,0.078,0.123,0.069,0.138,70700.43,0.225,1.4,17912.0,0.5819397993311037,0.24357745502973993,44.66,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
15,Australia,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,57.5,68614,7.49,513918.86,458415.62,0.478,0.104,0.186,0.108,0.13,46758.39,0.102,0.68,53815.0,0.1705685618729097,0.4789223465800946,29.39,Low profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, favorable price feasibility."
15,Australia,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,57.5,50992,7.6,387539.2,361186.53,0.499,0.064,0.083,0.068,0.152,72959.68,0.202,1.43,20195.0,0.5050167224080268,0.3202280212178078,43.11,Moderate profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, favorable price feasibility."
15,Australia,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,57.5,39230,7.81,306386.3,280343.46,0.474,0.073,0.111,0.085,0.137,57470.41,0.205,1.46,15310.0,0.5150501672240803,0.18827845289554812,38.43,Moderate profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, favorable price feasibility."
16,Singapore,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,56.8,98612,6.14,605477.68,540691.57,0.412,0.062,0.165,0.107,0.144,117330.07,0.217,1.19,36355.0,0.5551839464882943,0.6132106174956328,57.84,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
16,Singapore,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,56.8,69853,6.07,424007.71,401959.31,0.504,0.099,0.093,0.052,0.091,85617.33,0.213,1.23,26236.0,0.5418060200668896,0.38677609664713597,47.98,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
16,Singapore,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,56.8,48717,6.82,332249.94,314308.44,0.465,0.089,0.123,0.054,0.145,55946.9,0.178,1.15,21896.0,0.4247491638795986,0.2437150468927105,35.23,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
17,Viet Nam,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,56.72,63455,7.99,507005.45,479627.16,0.393,0.061,0.101,0.054,0.153,140051.13,0.292,2.21,17385.0,0.806020066889632,0.51354316870437,68.9,High profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
17,Viet Nam,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,56.72,48340,7.63,368834.2,347810.65,0.455,0.098,0.156,0.057,0.105,64692.78,0.186,1.34,20792.0,0.45150501672240806,0.29839632195242427,39.03,Moderate profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
17,Viet Nam,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,56.72,39393,7.9,311204.7,291287.6,0.483,0.072,0.125,0.064,0.139,52723.06,0.181,1.34,17412.0,0.4347826086956521,0.20614114104752418,34.33,Moderate profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
18,Australia,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,56.47,83338,8.19,682538.22,647046.23,0.415,0.095,0.103,0.052,0.101,185055.22,0.286,2.22,23312.0,0.785953177257525,0.7867994170805657,78.63,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
18,Australia,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,56.47,51947,8.1,420770.7,377852.09,0.434,0.104,0.113,0.102,0.089,98241.54,0.26,1.89,15984.0,0.6989966555183946,0.34742903483404874,55.84,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
