rank,country,category,product_idea,target_segment,channel_strategy,product_opportunity_score,priority_level,recommended_action,idea_rationale,business_rationale,consumer_interest_score,trend_momentum_score,macro_potential_score,review_opportunity_score,halal_concern_share,spiciness_issue_share,price_issue_share,health_concern_share
25,Viet Nam,Frozen mandu,Frozen Korean mandu family pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",53.29,Medium,Monitor,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.7508684173961372,0.5980606060606061,0.1410942570931766,27.24,0.1194,0.1045,0.0896,0.0448
26,Indonesia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",53.11,Medium,Monitor,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by positive recent trend momentum, favorable price feasibility.",0.2507989440044462,1.0,0.3650674175102485,28.77,0.2075,0.0755,0.0943,0.0189
27,Indonesia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",52.72,Medium,Monitor,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.7067528136723634,0.1223030303030303,0.3650674175102485,30.08,0.2,0.0833,0.1667,0.0167
28,Philippines,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",51.87,Medium,Monitor,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.,0.570237598999583,0.3112727272727272,0.1405619084470753,31.0,0.1385,0.2462,0.1077,0.0154
29,Indonesia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",51.6,Medium,Monitor,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.,0.6024732527441989,0.0385454545454545,0.3650674175102485,31.0,0.1455,0.1636,0.0727,0.0909
30,Malaysia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",51.51,Medium,Monitor,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.,0.4243434764485201,0.4143030303030303,0.4681598530898638,30.0,0.2,0.04,0.12,0.0
31,Viet Nam,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",51.42,Medium,Monitor,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.7644852021675698,0.4143030303030303,0.1410942570931766,27.65,0.1373,0.0588,0.1765,0.0784
32,Philippines,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",47.95,Medium,Monitor,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility.",0.4770043073502847,0.1878787878787878,0.1405619084470753,32.02,0.1923,0.0769,0.2115,0.0192
33,Singapore,Kimchi,Family-size kimchi value pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",47.19,Medium,Monitor,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.,0.4864526886202583,0.4082424242424242,0.5951248185902461,25.31,0.0,0.1042,0.1667,0.125
34,Viet Nam,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",46.87,Medium,Monitor,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.,0.4318466027511461,0.5355151515151515,0.1410942570931766,28.07,0.0526,0.193,0.1228,0.1579
35,Philippines,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",46.85,Medium,Monitor,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.,0.3370848964846463,0.4324848484848484,0.1405619084470753,30.17,0.1034,0.2241,0.0862,0.069
36,Thailand,Frozen mandu,Mild-flavor frozen mandu for mainstream consumers,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",46.29,Medium,Monitor,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.,0.3757121022648325,0.4303030303030303,0.4660262227209273,28.33,0.1765,0.1569,0.098,0.0
37,Philippines,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",45.45,Medium,Monitor,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.,0.5680144504654717,0.2656969696969697,0.1405619084470753,28.21,0.1429,0.0714,0.1429,0.0714
38,Philippines,Kimchi,Fresh kimchi starter pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",42.44,Low,Deprioritize,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.,0.3626511046269278,0.398060606060606,0.1405619084470753,27.81,0.0781,0.125,0.125,0.0938
39,Thailand,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",36.49,Low,Deprioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.,0.1110184799221897,0.4688484848484848,0.4660262227209273,27.03,0.1017,0.1525,0.1017,0.0169
40,Viet Nam,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",27.23,Low,Deprioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.,0.0,0.1779393939393939,0.1410942570931766,28.33,0.1,0.1667,0.1,0.05
