review_id,product_id,country,category,anonymous_brand,rating,review_text,theme_seed,sentiment_label,topic_id,topic_label,top_words
R00031,P0004,Indonesia,Korean ramen,Local Brand F,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,neutral,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00032,P0004,Indonesia,Korean ramen,Local Brand F,2,"The product is good, but the packaging does not feel very strong.",packaging_issue,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00033,P0004,Indonesia,Korean ramen,Local Brand F,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00034,P0005,Indonesia,Korean ramen,Korean Brand D,4,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00035,P0005,Indonesia,Korean ramen,Korean Brand D,3,"The product is good, but the packaging does not feel very strong.",packaging_issue,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00036,P0005,Indonesia,Korean ramen,Korean Brand D,3,The portion is smaller than expected.,portion_size,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00037,P0005,Indonesia,Korean ramen,Korean Brand D,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00038,P0005,Indonesia,Korean ramen,Korean Brand D,3,I wish there was a milder version because the spice level is too strong.,too_spicy,neutral,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00039,P0005,Indonesia,Korean ramen,Korean Brand D,4,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00040,P0006,Indonesia,Korean ramen,Korean Brand J,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00041,P0006,Indonesia,Korean ramen,Korean Brand J,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00042,P0006,Indonesia,Korean ramen,Korean Brand J,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00043,P0006,Indonesia,Korean ramen,Korean Brand J,3,"I like it, but I would only buy again if there is a discount.",price_sensitivity,neutral,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00044,P0006,Indonesia,Korean ramen,Korean Brand J,4,The portion is smaller than expected.,portion_size,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00045,P0006,Indonesia,Korean ramen,Korean Brand J,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00046,P0006,Indonesia,Korean ramen,Korean Brand J,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,neutral,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00047,P0007,Indonesia,Korean ramen,Local Brand C,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00048,P0007,Indonesia,Korean ramen,Local Brand C,3,The serving size could be larger for the price.,portion_size,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00049,P0007,Indonesia,Korean ramen,Local Brand C,5,Very convenient for a quick meal after work.,convenience_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00050,P0007,Indonesia,Korean ramen,Local Brand C,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00051,P0007,Indonesia,Korean ramen,Local Brand C,4,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00052,P0007,Indonesia,Korean ramen,Local Brand C,4,The portion is smaller than expected.,portion_size,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00053,P0007,Indonesia,Korean ramen,Local Brand C,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00054,P0007,Indonesia,Korean ramen,Local Brand C,2,"Good flavor, but it feels a bit heavy for frequent consumption.",health_concern,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00055,P0007,Indonesia,Korean ramen,Local Brand C,3,"The flavor is good, but it is too spicy for my family.",too_spicy,neutral,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00056,P0007,Indonesia,Korean ramen,Local Brand C,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00057,P0008,Indonesia,Korean ramen,Local Brand X,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00058,P0008,Indonesia,Korean ramen,Local Brand X,4,I wish there was a milder version because the spice level is too strong.,too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00059,P0008,Indonesia,Korean ramen,Local Brand X,4,"Good flavor, but it feels a bit heavy for frequent consumption.",health_concern,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00060,P0008,Indonesia,Korean ramen,Local Brand X,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00061,P0008,Indonesia,Korean ramen,Local Brand X,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00062,P0008,Indonesia,Korean ramen,Local Brand X,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,positive,0,Taste authenticity,"reminds, restaurant food, tastes authentic, restaurant, reminds korean, authentic reminds, korean restaurant, flavor tastes"
R00063,P0008,Indonesia,Korean ramen,Local Brand X,2,I would buy this more often if the halal certification was clearly shown.,halal_concern,negative,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00064,P0008,Indonesia,Korean ramen,Local Brand X,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00065,P0009,Indonesia,Kimchi,Premium Import Brand N,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00066,P0009,Indonesia,Kimchi,Premium Import Brand N,4,The serving size could be larger for the price.,portion_size,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00067,P0009,Indonesia,Kimchi,Premium Import Brand N,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00068,P0009,Indonesia,Kimchi,Premium Import Brand N,3,Clear halal labeling would make me more confident to purchase.,halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00069,P0009,Indonesia,Kimchi,Premium Import Brand N,3,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00070,P0010,Indonesia,Kimchi,Local Brand M,2,"The product is good, but the packaging does not feel very strong.",packaging_issue,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00071,P0010,Indonesia,Kimchi,Local Brand M,4,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00072,P0010,Indonesia,Kimchi,Local Brand M,4,"The product is good, but the packaging does not feel very strong.",packaging_issue,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00073,P0010,Indonesia,Kimchi,Local Brand M,2,"The product looks good, but I could not find clear halal information.",halal_concern,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00074,P0010,Indonesia,Kimchi,Local Brand M,2,"The taste is nice, but I wish it had less sodium.",health_concern,negative,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00075,P0010,Indonesia,Kimchi,Local Brand M,2,The portion is smaller than expected.,portion_size,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00076,P0011,Indonesia,Kimchi,Japanese Brand V,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,neutral,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00077,P0011,Indonesia,Kimchi,Japanese Brand V,2,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00078,P0011,Indonesia,Kimchi,Japanese Brand V,4,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00079,P0011,Indonesia,Kimchi,Japanese Brand V,2,Clear halal labeling would make me more confident to purchase.,halal_concern,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00080,P0012,Indonesia,Kimchi,Korean Brand Y,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00081,P0012,Indonesia,Kimchi,Korean Brand Y,5,Very convenient for a quick meal after work.,convenience_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00082,P0012,Indonesia,Kimchi,Korean Brand Y,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00083,P0012,Indonesia,Kimchi,Korean Brand Y,3,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,neutral,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00084,P0013,Indonesia,Kimchi,Private Label B,2,The label information could be clearer and easier to read.,packaging_issue,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00085,P0013,Indonesia,Kimchi,Private Label B,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00086,P0013,Indonesia,Kimchi,Private Label B,4,"The product is good, but the packaging does not feel very strong.",packaging_issue,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00087,P0013,Indonesia,Kimchi,Private Label B,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,positive,0,Taste authenticity,"reminds, restaurant food, tastes authentic, restaurant, reminds korean, authentic reminds, korean restaurant, flavor tastes"
R00088,P0013,Indonesia,Kimchi,Private Label B,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00089,P0014,Indonesia,Kimchi,Korean Brand Y,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00090,P0014,Indonesia,Kimchi,Korean Brand Y,2,"I like it, but I would only buy again if there is a discount.",price_sensitivity,negative,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00091,P0014,Indonesia,Kimchi,Korean Brand Y,2,"I like it, but I would only buy again if there is a discount.",price_sensitivity,negative,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00092,P0014,Indonesia,Kimchi,Korean Brand Y,3,I would prefer a healthier version with cleaner ingredients.,health_concern,neutral,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00093,P0014,Indonesia,Kimchi,Korean Brand Y,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00094,P0014,Indonesia,Kimchi,Korean Brand Y,3,The label information could be clearer and easier to read.,packaging_issue,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00095,P0014,Indonesia,Kimchi,Korean Brand Y,2,I wish there was a milder version because the spice level is too strong.,too_spicy,negative,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00096,P0014,Indonesia,Kimchi,Korean Brand Y,3,"I like it, but I would only buy again if there is a discount.",price_sensitivity,neutral,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00097,P0014,Indonesia,Kimchi,Korean Brand Y,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00098,P0015,Indonesia,Kimchi,Japanese Brand Q,5,Easy to prepare and good for busy weekdays.,convenience_positive,positive,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00099,P0015,Indonesia,Kimchi,Japanese Brand Q,2,The serving size could be larger for the price.,portion_size,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00100,P0015,Indonesia,Kimchi,Japanese Brand Q,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00101,P0015,Indonesia,Kimchi,Japanese Brand Q,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00102,P0015,Indonesia,Kimchi,Japanese Brand Q,2,The portion is smaller than expected.,portion_size,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00103,P0016,Indonesia,Kimchi,Korean Brand J,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00104,P0016,Indonesia,Kimchi,Korean Brand J,2,"I like it, but I would only buy again if there is a discount.",price_sensitivity,negative,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00105,P0016,Indonesia,Kimchi,Korean Brand J,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00106,P0016,Indonesia,Kimchi,Korean Brand J,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00107,P0016,Indonesia,Kimchi,Korean Brand J,2,I would prefer a healthier version with cleaner ingredients.,health_concern,negative,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00108,P0017,Indonesia,Gochujang sauce,Korean Brand S,3,I wish there was a milder version because the spice level is too strong.,too_spicy,neutral,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00109,P0017,Indonesia,Gochujang sauce,Korean Brand S,4,"I like it, but I would only buy again if there is a discount.",price_sensitivity,positive,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00110,P0017,Indonesia,Gochujang sauce,Korean Brand S,2,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00111,P0017,Indonesia,Gochujang sauce,Korean Brand S,2,The label information could be clearer and easier to read.,packaging_issue,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00112,P0017,Indonesia,Gochujang sauce,Korean Brand S,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,positive,0,Taste authenticity,"reminds, restaurant food, tastes authentic, restaurant, reminds korean, authentic reminds, korean restaurant, flavor tastes"
R00113,P0018,Indonesia,Gochujang sauce,Japanese Brand W,2,The label information could be clearer and easier to read.,packaging_issue,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00114,P0018,Indonesia,Gochujang sauce,Japanese Brand W,3,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00115,P0018,Indonesia,Gochujang sauce,Japanese Brand W,4,I would buy this more often if the halal certification was clearly shown.,halal_concern,positive,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00116,P0018,Indonesia,Gochujang sauce,Japanese Brand W,3,"I like it, but I would only buy again if there is a discount.",price_sensitivity,neutral,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00117,P0018,Indonesia,Gochujang sauce,Japanese Brand W,2,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,negative,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00118,P0018,Indonesia,Gochujang sauce,Japanese Brand W,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00119,P0018,Indonesia,Gochujang sauce,Japanese Brand W,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00120,P0018,Indonesia,Gochujang sauce,Japanese Brand W,3,The label information could be clearer and easier to read.,packaging_issue,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00121,P0018,Indonesia,Gochujang sauce,Japanese Brand W,2,"The product is good, but the packaging does not feel very strong.",packaging_issue,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00122,P0019,Indonesia,Gochujang sauce,Local Brand Q,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00123,P0019,Indonesia,Gochujang sauce,Local Brand Q,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,positive,0,Taste authenticity,"reminds, restaurant food, tastes authentic, restaurant, reminds korean, authentic reminds, korean restaurant, flavor tastes"
R00124,P0019,Indonesia,Gochujang sauce,Local Brand Q,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,neutral,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00125,P0019,Indonesia,Gochujang sauce,Local Brand Q,4,I wish there was a milder version because the spice level is too strong.,too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00126,P0019,Indonesia,Gochujang sauce,Local Brand Q,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00127,P0019,Indonesia,Gochujang sauce,Local Brand Q,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00128,P0020,Indonesia,Gochujang sauce,Premium Import Brand X,2,The label information could be clearer and easier to read.,packaging_issue,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00129,P0020,Indonesia,Gochujang sauce,Premium Import Brand X,4,"The taste is nice, but I wish it had less sodium.",health_concern,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00130,P0020,Indonesia,Gochujang sauce,Premium Import Brand X,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00131,P0020,Indonesia,Gochujang sauce,Premium Import Brand X,4,I like that it saves time and still tastes good.,convenience_positive,positive,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00132,P0020,Indonesia,Gochujang sauce,Premium Import Brand X,2,Clear halal labeling would make me more confident to purchase.,halal_concern,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
