review_id,product_id,country,platform,category,anonymous_brand,product_name,rating,review_text,theme_seed,data_type
R00039,P0005,Indonesia,Tokopedia,Korean ramen,Korean Brand D,Spicy Ramen - multi-pack,4,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00040,P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand J,Spicy Ramen - cup noodle,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,synthetic_review_corpus
R00041,P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand J,Spicy Ramen - cup noodle,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,synthetic_review_corpus
R00042,P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand J,Spicy Ramen - cup noodle,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,synthetic_review_corpus
R00043,P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand J,Spicy Ramen - cup noodle,3,"I like it, but I would only buy again if there is a discount.",price_sensitivity,synthetic_review_corpus
R00044,P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand J,Spicy Ramen - cup noodle,4,The portion is smaller than expected.,portion_size,synthetic_review_corpus
R00045,P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand J,Spicy Ramen - cup noodle,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00046,P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand J,Spicy Ramen - cup noodle,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,synthetic_review_corpus
R00047,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00048,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,3,The serving size could be larger for the price.,portion_size,synthetic_review_corpus
R00049,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,5,Very convenient for a quick meal after work.,convenience_positive,synthetic_review_corpus
R00050,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00051,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,4,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00052,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,4,The portion is smaller than expected.,portion_size,synthetic_review_corpus
R00053,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,synthetic_review_corpus
R00054,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,2,"Good flavor, but it feels a bit heavy for frequent consumption.",health_concern,synthetic_review_corpus
R00055,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,3,"The flavor is good, but it is too spicy for my family.",too_spicy,synthetic_review_corpus
R00056,P0007,Indonesia,Tokopedia,Korean ramen,Local Brand C,Kimchi Ramen - multi-pack,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,synthetic_review_corpus
R00057,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00058,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,4,I wish there was a milder version because the spice level is too strong.,too_spicy,synthetic_review_corpus
R00059,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,4,"Good flavor, but it feels a bit heavy for frequent consumption.",health_concern,synthetic_review_corpus
R00060,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00061,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00062,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,synthetic_review_corpus
R00063,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,2,I would buy this more often if the halal certification was clearly shown.,halal_concern,synthetic_review_corpus
R00064,P0008,Indonesia,Tokopedia,Korean ramen,Local Brand X,Mild Ramen - single pack,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,synthetic_review_corpus
R00065,P0009,Indonesia,Tokopedia,Kimchi,Premium Import Brand N,Original Kimchi - jar,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00066,P0009,Indonesia,Tokopedia,Kimchi,Premium Import Brand N,Original Kimchi - jar,4,The serving size could be larger for the price.,portion_size,synthetic_review_corpus
R00067,P0009,Indonesia,Tokopedia,Kimchi,Premium Import Brand N,Original Kimchi - jar,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,synthetic_review_corpus
R00068,P0009,Indonesia,Tokopedia,Kimchi,Premium Import Brand N,Original Kimchi - jar,3,Clear halal labeling would make me more confident to purchase.,halal_concern,synthetic_review_corpus
R00069,P0009,Indonesia,Tokopedia,Kimchi,Premium Import Brand N,Original Kimchi - jar,3,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,synthetic_review_corpus
R00070,P0010,Indonesia,Tokopedia,Kimchi,Local Brand M,Fresh Kimchi - pouch,2,"The product is good, but the packaging does not feel very strong.",packaging_issue,synthetic_review_corpus
R00071,P0010,Indonesia,Tokopedia,Kimchi,Local Brand M,Fresh Kimchi - pouch,4,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,synthetic_review_corpus
R00072,P0010,Indonesia,Tokopedia,Kimchi,Local Brand M,Fresh Kimchi - pouch,4,"The product is good, but the packaging does not feel very strong.",packaging_issue,synthetic_review_corpus
R00073,P0010,Indonesia,Tokopedia,Kimchi,Local Brand M,Fresh Kimchi - pouch,2,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00074,P0010,Indonesia,Tokopedia,Kimchi,Local Brand M,Fresh Kimchi - pouch,2,"The taste is nice, but I wish it had less sodium.",health_concern,synthetic_review_corpus
R00075,P0010,Indonesia,Tokopedia,Kimchi,Local Brand M,Fresh Kimchi - pouch,2,The portion is smaller than expected.,portion_size,synthetic_review_corpus
R00076,P0011,Indonesia,Tokopedia,Kimchi,Japanese Brand V,Fresh Kimchi - jar,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,synthetic_review_corpus
R00077,P0011,Indonesia,Tokopedia,Kimchi,Japanese Brand V,Fresh Kimchi - jar,2,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,synthetic_review_corpus
R00078,P0011,Indonesia,Tokopedia,Kimchi,Japanese Brand V,Fresh Kimchi - jar,4,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,synthetic_review_corpus
R00079,P0011,Indonesia,Tokopedia,Kimchi,Japanese Brand V,Fresh Kimchi - jar,2,Clear halal labeling would make me more confident to purchase.,halal_concern,synthetic_review_corpus
R00080,P0012,Indonesia,Shopee ID,Kimchi,Korean Brand Y,Fresh Kimchi - fresh pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00081,P0012,Indonesia,Shopee ID,Kimchi,Korean Brand Y,Fresh Kimchi - fresh pack,5,Very convenient for a quick meal after work.,convenience_positive,synthetic_review_corpus
R00082,P0012,Indonesia,Shopee ID,Kimchi,Korean Brand Y,Fresh Kimchi - fresh pack,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,synthetic_review_corpus
R00083,P0012,Indonesia,Shopee ID,Kimchi,Korean Brand Y,Fresh Kimchi - fresh pack,3,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00084,P0013,Indonesia,Tokopedia,Kimchi,Private Label B,Original Kimchi - jar,2,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00085,P0013,Indonesia,Tokopedia,Kimchi,Private Label B,Original Kimchi - jar,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,synthetic_review_corpus
R00086,P0013,Indonesia,Tokopedia,Kimchi,Private Label B,Original Kimchi - jar,4,"The product is good, but the packaging does not feel very strong.",packaging_issue,synthetic_review_corpus
R00087,P0013,Indonesia,Tokopedia,Kimchi,Private Label B,Original Kimchi - jar,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,synthetic_review_corpus
R00088,P0013,Indonesia,Tokopedia,Kimchi,Private Label B,Original Kimchi - jar,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00089,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00090,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,2,"I like it, but I would only buy again if there is a discount.",price_sensitivity,synthetic_review_corpus
R00091,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,2,"I like it, but I would only buy again if there is a discount.",price_sensitivity,synthetic_review_corpus
R00092,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,3,I would prefer a healthier version with cleaner ingredients.,health_concern,synthetic_review_corpus
R00093,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00094,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,3,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00095,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,2,I wish there was a milder version because the spice level is too strong.,too_spicy,synthetic_review_corpus
R00096,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,3,"I like it, but I would only buy again if there is a discount.",price_sensitivity,synthetic_review_corpus
R00097,P0014,Indonesia,Tokopedia,Kimchi,Korean Brand Y,Original Kimchi - fresh pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00098,P0015,Indonesia,Shopee ID,Kimchi,Japanese Brand Q,Fresh Kimchi - fresh pack,5,Easy to prepare and good for busy weekdays.,convenience_positive,synthetic_review_corpus
R00099,P0015,Indonesia,Shopee ID,Kimchi,Japanese Brand Q,Fresh Kimchi - fresh pack,2,The serving size could be larger for the price.,portion_size,synthetic_review_corpus
R00100,P0015,Indonesia,Shopee ID,Kimchi,Japanese Brand Q,Fresh Kimchi - fresh pack,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00101,P0015,Indonesia,Shopee ID,Kimchi,Japanese Brand Q,Fresh Kimchi - fresh pack,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00102,P0015,Indonesia,Shopee ID,Kimchi,Japanese Brand Q,Fresh Kimchi - fresh pack,2,The portion is smaller than expected.,portion_size,synthetic_review_corpus
R00103,P0016,Indonesia,Tokopedia,Kimchi,Korean Brand J,Mild Kimchi - fresh pack,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00104,P0016,Indonesia,Tokopedia,Kimchi,Korean Brand J,Mild Kimchi - fresh pack,2,"I like it, but I would only buy again if there is a discount.",price_sensitivity,synthetic_review_corpus
R00105,P0016,Indonesia,Tokopedia,Kimchi,Korean Brand J,Mild Kimchi - fresh pack,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00106,P0016,Indonesia,Tokopedia,Kimchi,Korean Brand J,Mild Kimchi - fresh pack,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,synthetic_review_corpus
R00107,P0016,Indonesia,Tokopedia,Kimchi,Korean Brand J,Mild Kimchi - fresh pack,2,I would prefer a healthier version with cleaner ingredients.,health_concern,synthetic_review_corpus
R00108,P0017,Indonesia,Tokopedia,Gochujang sauce,Korean Brand S,Korean Chili Sauce - tube,3,I wish there was a milder version because the spice level is too strong.,too_spicy,synthetic_review_corpus
R00109,P0017,Indonesia,Tokopedia,Gochujang sauce,Korean Brand S,Korean Chili Sauce - tube,4,"I like it, but I would only buy again if there is a discount.",price_sensitivity,synthetic_review_corpus
R00110,P0017,Indonesia,Tokopedia,Gochujang sauce,Korean Brand S,Korean Chili Sauce - tube,2,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,synthetic_review_corpus
R00111,P0017,Indonesia,Tokopedia,Gochujang sauce,Korean Brand S,Korean Chili Sauce - tube,2,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00112,P0017,Indonesia,Tokopedia,Gochujang sauce,Korean Brand S,Korean Chili Sauce - tube,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,synthetic_review_corpus
R00113,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,2,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00114,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,3,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,synthetic_review_corpus
R00115,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,4,I would buy this more often if the halal certification was clearly shown.,halal_concern,synthetic_review_corpus
R00116,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,3,"I like it, but I would only buy again if there is a discount.",price_sensitivity,synthetic_review_corpus
R00117,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,2,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00118,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00119,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00120,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,3,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00121,P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Gochujang Sauce - tube,2,"The product is good, but the packaging does not feel very strong.",packaging_issue,synthetic_review_corpus
R00122,P0019,Indonesia,Tokopedia,Gochujang sauce,Local Brand Q,Sweet Spicy Sauce - squeeze bottle,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00123,P0019,Indonesia,Tokopedia,Gochujang sauce,Local Brand Q,Sweet Spicy Sauce - squeeze bottle,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,synthetic_review_corpus
R00124,P0019,Indonesia,Tokopedia,Gochujang sauce,Local Brand Q,Sweet Spicy Sauce - squeeze bottle,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,synthetic_review_corpus
R00125,P0019,Indonesia,Tokopedia,Gochujang sauce,Local Brand Q,Sweet Spicy Sauce - squeeze bottle,4,I wish there was a milder version because the spice level is too strong.,too_spicy,synthetic_review_corpus
R00126,P0019,Indonesia,Tokopedia,Gochujang sauce,Local Brand Q,Sweet Spicy Sauce - squeeze bottle,3,"The product is good, but the price feels quite high for the portion size.",price_sensitivity,synthetic_review_corpus
R00127,P0019,Indonesia,Tokopedia,Gochujang sauce,Local Brand Q,Sweet Spicy Sauce - squeeze bottle,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00128,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,2,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00129,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,4,"The taste is nice, but I wish it had less sodium.",health_concern,synthetic_review_corpus
R00130,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00131,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,4,I like that it saves time and still tastes good.,convenience_positive,synthetic_review_corpus
R00132,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,2,Clear halal labeling would make me more confident to purchase.,halal_concern,synthetic_review_corpus
R00133,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,3,Clear halal labeling would make me more confident to purchase.,halal_concern,synthetic_review_corpus
R00134,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,5,Easy to prepare and good for busy weekdays.,convenience_positive,synthetic_review_corpus
R00135,P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand X,Sweet Spicy Sauce - tube,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00136,P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Korean Chili Sauce - jar,4,"It tastes good, but one pack is not enough for a full meal.",portion_size,synthetic_review_corpus
R00137,P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Korean Chili Sauce - jar,3,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00138,P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Korean Chili Sauce - jar,2,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00139,P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Korean Chili Sauce - jar,3,Clear halal labeling would make me more confident to purchase.,halal_concern,synthetic_review_corpus
R00140,P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Korean Chili Sauce - jar,3,"It tastes good, but one pack is not enough for a full meal.",portion_size,synthetic_review_corpus
R00141,P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Korean Chili Sauce - jar,4,"The product is good, but the packaging does not feel very strong.",packaging_issue,synthetic_review_corpus
R00142,P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand W,Korean Chili Sauce - jar,3,"The taste is nice, but I wish it had less sodium.",health_concern,synthetic_review_corpus
R00143,P0022,Indonesia,Shopee ID,Gochujang sauce,Korean Brand Z,Sweet Spicy Sauce - tube,3,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00144,P0022,Indonesia,Shopee ID,Gochujang sauce,Korean Brand Z,Sweet Spicy Sauce - tube,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00145,P0022,Indonesia,Shopee ID,Gochujang sauce,Korean Brand Z,Sweet Spicy Sauce - tube,2,"The taste is nice, but I wish it had less sodium.",health_concern,synthetic_review_corpus
R00146,P0022,Indonesia,Shopee ID,Gochujang sauce,Korean Brand Z,Sweet Spicy Sauce - tube,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,synthetic_review_corpus
R00147,P0022,Indonesia,Shopee ID,Gochujang sauce,Korean Brand Z,Sweet Spicy Sauce - tube,2,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00148,P0022,Indonesia,Shopee ID,Gochujang sauce,Korean Brand Z,Sweet Spicy Sauce - tube,3,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00149,P0023,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand D,Sweet Spicy Sauce - squeeze bottle,3,"It tastes good, but one pack is not enough for a full meal.",portion_size,synthetic_review_corpus
R00150,P0023,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand D,Sweet Spicy Sauce - squeeze bottle,2,"The taste is nice, but I wish it had less sodium.",health_concern,synthetic_review_corpus
R00151,P0023,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand D,Sweet Spicy Sauce - squeeze bottle,3,"The taste is fine, but it feels expensive compared with local alternatives.",price_sensitivity,synthetic_review_corpus
